GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC35,Owner-occupied housing units with a mortgage; Estimate; RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Not computed
HC01_MOE_VC35,Owner-occupied housing units with a mortgage; Margin of Error; RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Not computed
HC01_EST_VC38,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - Less than $200
HC01_MOE_VC38,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - Less than $200
HC01_EST_VC39,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $200 to $299
HC01_MOE_VC39,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $200 to $299
HC01_EST_VC40,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $300 to $399
HC01_MOE_VC40,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $300 to $399
HC01_EST_VC41,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $400 to $499
HC01_MOE_VC41,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $400 to $499
HC01_EST_VC42,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $500 to $599
HC01_MOE_VC42,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $500 to $599
HC01_EST_VC43,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $600 to $699
HC01_MOE_VC43,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $600 to $699
HC01_EST_VC44,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $700 to $799
HC01_MOE_VC44,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $700 to $799
HC01_EST_VC45,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $800 to $899
HC01_MOE_VC45,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $800 to $899
HC01_EST_VC46,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $900 to $999
HC01_MOE_VC46,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $900 to $999
HC01_EST_VC47,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $1,000 to $1,249"
HC01_MOE_VC47,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $1,000 to $1,249"
HC01_EST_VC48,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $1,250 to $1,499"
HC01_MOE_VC48,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $1,250 to $1,499"
HC01_EST_VC49,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $1,500 to $1,999"
HC01_MOE_VC49,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $1,500 to $1,999"
HC01_EST_VC50,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - $2,000 or more"
HC01_MOE_VC50,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - $2,000 or more"
HC01_EST_VC51,Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS - Median (dollars)
HC01_MOE_VC51,Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS - Median (dollars)
HC01_EST_VC54,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Less than $20,000"
HC01_MOE_VC54,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Less than $20,000"
HC01_EST_VC55,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Less than $20,000 - Less than 20 percent"
HC01_MOE_VC55,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Less than $20,000 - Less than 20 percent"
HC01_EST_VC56,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Less than $20,000 - 20 to 29 percent"
HC01_MOE_VC56,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Less than $20,000 - 20 to 29 percent"
HC01_EST_VC57,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Less than $20,000 - 30 percent or more"
HC01_MOE_VC57,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - Less than $20,000 - 30 percent or more"
HC01_EST_VC58,"Owner-occupied housing units with a mortgage; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $20,000 to $34,999"
HC01_MOE_VC58,"Owner-occupied housing units with a mortgage; Margin of Error; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $20,000 to $34,999"
